ID,Northing,Easting,Elevation,Name
2,3127794.248,786239.424,1605.197,
4,3127789.215,786118.502,1605.197,
5,3127794.248,786239.424,1605.197,
1,3127794.232,786239.426,882.288,ST7
0002-1,3127826.259,786228.78,883.214,ST7
3,3127800.237,786169.124,889.868,UP
0004-2,3127797.574,786172.13,889.826,UP
0005-3,3127802.29,786167.499,890.491,UP
6,3127796.483,786172.923,890.074,UP
7,3127802.627,786166.219,891.352,UP
8,3127795.405,786174.012,890.54,UP
9,3127794.959,786175.315,891.357,UP
10,3127799.749,786165.294,890.848,UP
11,3127795.956,786169.804,890.004,UP
12,3127798.909,786166.161,890.853,UP
13,3127794.669,786170.727,890.045,UP
14,3127797.492,786167.916,890.178,UP
15,3127797.384,786162.815,892.026,UP
16,3127796.398,786164.304,891.218,UP
17,3127795.394,786165.12,890.112,UP
18,3127794.95,786162.061,891.659,UP
19,3127794.964,786162.16,891.647,UP
20,3127794.226,786166.468,889.821,UP
21,3127793.501,786167.662,889.923,UP
22,3127793.616,786160.349,891.762,UP
23,3127799.41,786172.964,888.001,UP
24,3127796.676,786175.576,890.526,UP
25,3127801.854,786170.648,889.935,UP
26,3127802.839,786168.324,888.942,UP
27,3127801.258,786177.595,889.032,UP
28,3127805.047,786169.374,888.66,UP
29,3127807.633,786171.234,888.752,UP
30,3127802.74,786174.215,887.062,UP
31,3127805.385,786177.14,889.01,UP
32,3127809.534,786172.55,890.113,UP
33,3127804.423,786182.255,888.154,UP
34,3127808.024,786178.099,887.699,UP
35,3127812.047,786178.775,888.293,UP
36,3127809.616,786180.475,887.381,UP
37,3127806.495,786183.185,887.299,UP
38,3127813.297,786181.182,886.598,UP
39,3127809.191,786184.331,888.24,UP
40,3127792.782,786175.527,892.953,SH
41,3127792.352,786174.432,893.188,SH
42,3127792.177,786175.716,893.623,SH
43,3127790.732,786174.721,894.111,SH
44,3127788.979,786173.251,894.576,SH
45,3127788.101,786173.308,894.657,SH
46,3127753.254,786136.093,906.162,SH
47,3127753.21,786135.322,906.28,SH
48,3127763.236,786145.079,903.327,SH
49,3127785.037,786175.701,893.336,SH
50,3127783.779,786176.192,893.891,SH
51,3127782.716,786173.671,894.336,SH
52,3127782.517,786174.469,894.609,SH
53,3127779.556,786168.741,895.53,SH
54,3127780.302,786173.593,895.279,SH
55,3127776.327,786173.091,895.515,SH
56,3127781.196,786175.104,895.205,SH
57,3127768.654,786176.445,895.987,SH
58,3127767,786178.112,896.089,SH
59,3127768.537,786178.923,895.86,SH
60,3127768.645,786180.3,895.057,SH
61,3127769.087,786179.175,895.045,SH
62,3127781.315,786175.526,894.269,SH
63,3127782.862,786174.025,894.291,SH
64,3127783.185,786173.248,894.291,SH
65,3127783.077,786172.414,894.281,SH
66,3127788.624,786173.658,893.783,SH
67,3127785.283,786172.734,893.396,SH
68,3127784.713,786174.479,893.44,SH
69,3127785.079,786176.202,893.553,SH
70,3127786.011,786177.659,893.693,SH
71,3127785.699,786178.942,893.647,SH
72,3127787.501,786180.562,893.017,SH
73,3127786.391,786178.564,892.879,SH
74,3127787.365,786177.109,893.123,SH
75,3127787.712,786175.409,893.064,SH
76,3127790.861,786176.601,893.926,SH
77,3127791.301,786176.236,893.938,SH
78,3127791.893,786175.228,893.766,SH
79,3127792.144,786175.775,893.61,SH
80,3127792.035,786176.651,893.93,SH
81,3127791.308,786176.699,893.779,SH
82,3127788.497,786176.619,892.784,SH
83,3127788.351,786178.38,892.657,SH
84,3127788.36,786180.132,892.449,SH
85,3127746.714,786258.395,850.278,SH
86,3127791.159,786181.611,891.763,SH
87,3127790.333,786180.561,892.089,SH
88,3127790.074,786179.29,892.499,SH
89,3127789.795,786178.13,892.519,SH
90,3127791.069,786177.319,893.32,SH
91,3127791.181,786176.822,893.205,SH
92,3127792.164,786176.421,893.361,SH
93,3127792.836,786176.858,893.7,SH
94,3127793.502,786156.205,897.565,SH
95,3127802.031,786144.284,898.546,SH
96,3127800.484,786160.828,896.689,SH
97,3127807.162,786166.227,894.935,SH
98,3127810.297,786169.603,893.718,SH
99,3127796.013,786176.433,892.028,SH
100,3127796.519,786176.819,891.803,SH
101,3127793.866,786177.929,893.681,SH
