DUMMY,Northing,Easting,Elevation,Name
ST4,3127625.64,786023.635,853.263,MJR4
5001,3127753.049,786127.948,880.18,DAM
5002,3127749.493,786132.177,881.079,DAM
5003,3127755.683,786125.348,880.816,DAM
5004,3127757.039,786124.092,881.615,DAM
5005,3127760.56,786119.665,882.537,DAM
5006,3127748.635,786133.214,881.053,DAM
5007,3127766.259,786110.487,879.987,DAM
5008,3127746.226,786135.845,880.785,DAM
5009,3127745.357,786137.279,880.715,DAM
5010,3127744.587,786121.477,875.687,D1
5011,3127744.374,786125.034,877.431,D1
5012,3127745.923,786119.716,877.812,D1
5013,3127743.124,786127.236,877.996,D1
5014,3127740.759,786129.538,878.029,D1
5015,3127747.721,786117.28,878.881,D1
5016,3127739.243,786131.393,877.677,D1
5017,3127750.613,786112.329,878.106,D1
5018,3127736.394,786134.388,877.566,D1
5019,3127733.624,786136.777,876.419,D1
5020,3127738.573,786118.933,874.85,D2
5021,3127734.583,786125.601,876.046,D2
5022,3127736.232,786122.301,875.305,D2
5023,3127731.142,786128.044,875.662,D2
5024,3127727.048,786130.555,875.139,D2
5025,3127725.334,786131.256,875.206,D2
5026,3127742.21,786114.952,877.845,D2
5027,3127748.143,786110.092,877.87,D2
5028,3127729.101,786114.752,874.011,D3
5029,3127731.877,786111.074,874.064,D3
5030,3127733.895,786109.574,875.954,D3
5031,3127724.283,786119.478,873.59,D3
5032,3127736.46,786105.895,876.787,D3
5033,3127720.115,786120.141,873.044,D3
5034,3127741.272,786099.887,875.577,D3
5035,3127721.938,786112.385,871.7,D4
5036,3127719.454,786114.016,871.971,D4
5037,3127717.656,786115.404,872.13,D4
5038,3127716.575,786116.372,872.896,D4
5039,3127724.173,786108.974,872.722,D4
5040,3127726.444,786106.782,873.237,D4
5041,3127727.963,786102.808,874.805,D4
5042,3127730.672,786099.465,874.55,D4
5043,3127725.79,786091.476,871.474,D5
5044,3127722.245,786094.154,871.674,D5
5045,3127719.024,786097.394,872.492,D5
5046,3127717.317,786099.699,871.466,D5
5047,3127714.345,786102.247,870.495,D5
5048,3127714.726,786103.717,869.428,D5
5049,3127709.094,786107.29,871.898,D5
5050,3127706.933,786109.275,873.756,D5
5051,3127703.813,786112.29,872.841,D5
5052,3127718.077,786089.864,870.92,D6
5053,3127715.137,786091.862,871.877,D6
5054,3127711.896,786093.528,869.877,D6
5055,3127710.266,786094.808,869.264,D6
5056,3127707.468,786097.013,867.994,D6
5057,3127703.653,786104.74,871.871,D6
5058,3127700.249,786106.703,871.525,D6
5059,3127712.963,786081.84,869.26,D7
5060,3127710.357,786083.103,869.541,D7
5061,3127707.164,786084.728,868.073,D7
5062,3127705.226,786086.042,866.66,D7
5063,3127701.801,786085.902,866.091,D7
5064,3127697.808,786092.109,869.125,D7
5065,3127690.175,786094.548,869.065,D7
5066,3127686.868,786097.183,869.118,D7
5067,3127709.334,786074.564,868.19,D8
5068,3127706.212,786075.618,868.106,D8
5069,3127705.078,786075.974,866.647,D8
5070,3127702.71,786077.355,865.321,D8
5071,3127699.669,786077.62,865.033,D8
5072,3127685.566,786091.476,868.331,D8
5073,3127683.613,786093.741,868.542,D8
5074,3127679.159,786084.813,867.264,D9
5075,3127683.308,786082.367,867.376,D9
5076,3127691.444,786074.485,864.673,D9
5077,3127695.058,786072.586,864.649,D9
5078,3127698.215,786071.35,864.836,D9
5079,3127700.001,786070.506,865.684,D9
5080,3127702.966,786067.749,866.496,D9
5081,3127705.371,786064.987,866.431,D9
5082,3127702.579,786056.675,864.466,D10
5083,3127758.738,786126.289,881.603,D10
5084,3127761.378,786126.112,883.046,D10
5085,3127764.509,786126.998,883.741,D10
5086,3127753.938,786124.209,880.574,D10
5087,3127752.813,786123.738,879.588,D10
5088,3127759.221,786123.39,882.398,D10
5089,3127764.397,786124.296,883.562,D10
5090,3127761.697,786123.168,883.104,D10
ST2,3127780.44,786104.776,880.932,MJR4
5091,3127757.485,786123.03,881.893,CANAL
5092,3127756.244,786122.911,881.019,CANAL
5093,3127756.975,786120.057,881.595,CANAL
5094,3127759.456,786119.175,882.203,CANAL
5095,3127755.069,786121.23,880.85,CANAL
5096,3127753.571,786121.644,880.369,CANAL
5097,3127754.609,786118.529,880.535,CANAL
5098,3127756.542,786117.607,880.916,CANAL
5099,3127758.455,786117.587,880.733,CANAL
5100,3127752.757,786120.563,880.187,CANAL
5101,3127751.636,786120.765,879.284,CANAL
5102,3127752.547,786115.738,879.315,CANAL
5103,3127754.569,786115.041,878.938,CANAL
5104,3127758.044,786112.948,878.566,CANAL
5105,3127749.527,786117.409,877.662,CANAL
5106,3127748.68,786118.42,877.307,CANAL
5107,3127745.746,786109.826,876.377,CANAL
5108,3127748.712,786109.286,875.957,CANAL
5109,3127752.247,786108.978,875.927,CANAL
5110,3127742.023,786110.077,876.375,CANAL
5111,3127738.951,786110.417,875.632,CANAL
5112,3127745.186,786103.409,875.292,CANAL
5113,3127748.864,786102.646,875.258,CANAL
5114,3127753.258,786102.067,875.142,CANAL
5115,3127743.101,786103.155,874.699,CANAL
