ST7,27742.760,86111.720,878.280,M7
ST6,27673.250,86062.130,864.040,M6
1,27757.610,86123.320,881.850,CDM
2,27756.120,86125.060,881.540,CDM
3,27755.680,86125.330,880.820,CDM
4,27754.760,86126.370,880.080,CDM
5,27753.870,86127.260,880.320,CDM
6,27752.260,86129.260,880.270,CDM
7,27750.550,86130.840,880.270,CDM
8,27749.540,86132.060,880.250,CDM
9,27748.630,86133.140,881.080,CDM
10,27748.060,86133.750,880.790,CDM
11,27757.990,86122.830,882.070,CDM
12,27758.740,86121.890,882.110,CDM
13,27759.690,86120.710,882.230,CDM
14,27760.390,86119.270,882.380,CDM
15,27761.050,86118.200,882.110,CDM
16,27757.200,86141.430,882.520,UDM
17,27761.290,86142.960,882.080,UDM
18,27760.640,86141.990,881.660,UDM
19,27758.300,86142.910,882.240,UDM
20,27762.780,86142.240,882.060,UDM
21,27758.770,86142.710,881.500,UDM
22,27761.610,86140.360,881.720,UDM
23,27764.050,86141.080,882.110,UDM
24,27762.950,86137.980,881.600,UDM
25,27766.100,86139.750,881.850,UDM
26,27764.160,86137.140,881.280,UDM
27,27766.790,86138.490,881.260,UDM
28,27765.140,86136.020,881.130,UDM
29,27767.830,86135.990,882.980,UDM
30,27766.770,86134.870,882.930,UDM
31,27765.400,86134.020,882.060,UDM
32,27764.480,86134.790,880.950,UDM
33,27762.690,86134.030,880.970,UDM
34,27760.280,86135.820,881.280,UDM
35,27758.710,86136.920,880.720,UDM
36,27756.160,86138.200,881.150,UDM
37,27756.260,86138.240,881.140,UDM
38,27757.200,86134.340,880.400,UDM
39,27754.530,86139.310,882.250,UDM
40,27758.890,86133.530,881.120,UDM
41,27754.210,86136.970,881.140,UDM
42,27760.630,86132.070,880.700,UDM
43,27753.430,86137.670,882.510,UDM
44,27752.940,86135.280,881.020,UDM
45,27762.330,86130.690,881.750,UDM
46,27752.290,86135.960,881.940,UDM
47,27760.010,86128.210,881.770,UDM
48,27754.210,86132.800,880.330,UDM
49,27755.470,86130.900,880.300,UDM
50,27756.860,86129.650,880.710,UDM
51,27753.810,86130.140,880.660,UDM
52,27756.470,86127.280,880.220,UDM
53,27754.610,86129.040,880.170,UDM
54,27757.160,86126.190,880.780,UDM
55,27752.170,86132.270,880.550,UDM
56,27757.270,86125.810,881.600,UDM
57,27750.270,86134.050,881.280,UDM
58,27759.190,86124.180,882.440,UDM
59,27749.500,86135.260,881.600,UDM
60,27761.670,86125.760,883.200,UDM
61,27764.380,86127.650,883.720,UDM
62,27750.770,86136.810,882.950,UDM
63,27767.010,86130.620,884.190,UDM
64,27752.090,86137.930,883.570,UDM
65,27769.580,86133.150,885.320,UDM
66,27754.550,86140.970,883.920,UDM
67,27771.260,86134.510,885.810,UDM
68,27755.760,86143.260,884.560,UDM
69,27757.320,86145.780,884.460,UDM
70,27747.250,86132.300,880.110,LDM
71,27748.040,86131.310,879.430,LDM
72,27749.650,86129.410,879.230,LDM
73,27753.130,86126.320,878.910,LDM
74,27756.370,86122.240,881.330,LDM
75,27754.930,86123.750,880.790,LDM
76,27752.130,86121.660,878.630,LDM
77,27751.130,86123.150,878.280,LDM
78,27753.040,86120.240,880.190,LDM
79,27750.610,86124.220,877.790,LDM
80,27751.680,86119.340,879.880,LDM
81,27750.080,86121.350,878.540,LDM
82,27750.110,86119.170,879.710,LDM
83,27747.080,86122.940,877.840,LDM
84,27748.780,86117.140,879.310,LDM
85,27745.620,86119.180,877.800,LDM
86,27747.940,86116.710,878.930,LDM
87,27744.860,86121.170,877.090,LDM
88,27744.560,86115.360,878.340,LDM
89,27744.020,86117.500,877.290,LDM
90,27742.810,86119.560,876.400,LDM
91,27742.120,86114.760,877.860,LDM
92,27741.110,86116.670,876.320,LDM
93,27739.480,86119.140,875.270,LDM
94,27737.780,86121.540,875.470,LDM
95,27740.860,86120.570,875.600,LDM
96,27736.350,86124.320,875.960,LDM
97,27739.690,86122.380,875.820,LDM
98,27734.880,86126.460,876.250,LDM
99,27738.430,86124.640,875.990,LDM
100,27738.420,86124.650,876.000,LDM
101,27737.630,86126.100,876.870,LDM
102,27740.800,86125.000,877.350,LDM
103,27741.340,86123.800,876.430,LDM
104,27741.630,86122.690,876.070,LDM
105,27743.380,86123.280,876.700,LDM
106,27741.790,86127.080,877.700,LDM
107,27742.990,86125.050,876.850,LDM
108,27743.490,86129.140,879.310,LDM
109,27744.830,86127.040,877.500,LDM
110,27745.860,86125.320,877.050,LDM
111,27745.240,86130.190,879.720,LDM
112,27746.550,86129.030,878.420,LDM
113,27748.130,86126.550,877.420,LDM
114,27745.750,86131.420,879.930,LDM
115,27748.200,86129.110,878.380,LDM
116,27751.240,86127.300,877.860,LDM
117,27735.260,86108.150,876.450,LDM10
118,27733.730,86109.820,875.660,LDM10
119,27732.990,86111.010,874.160,LDM10
120,27728.670,86115.140,873.890,LDM10
121,27725.120,86120.680,873.970,LDM10
122,27721.630,86126.640,874.350,LDM10
123,27716.410,86125.890,876.210,LDM10
124,27728.050,86102.780,874.840,LDM10
125,27712.870,86115.790,875.400,LDM10
126,27726.450,86104.230,873.580,LDM10
127,27717.420,86116.050,872.860,LDM10
128,27724.560,86107.950,872.720,LDM10
129,27719.610,86113.910,872.200,LDM10
130,27722.000,86111.490,871.480,LDM10
131,27721.830,86099.530,873.810,LDM30
132,27709.340,86111.490,874.250,LDM30
133,27719.610,86099.780,872.810,LDM30
134,27711.600,86107.260,870.900,LDM30
135,27715.790,86103.030,870.380,LDM30
136,27712.810,86106.750,869.970,LDM30
137,27713.670,86104.870,869.750,LDM30
138,27715.570,86091.930,871.750,LDM40
139,27701.380,86102.320,871.920,LDM40
140,27710.930,86095.610,869.720,LDM40
141,27702.110,86101.120,869.320,LDM40
142,27709.190,86097.820,868.820,LDM40
143,27704.640,86102.210,868.870,LDM40
144,27707.190,86100.530,868.550,LDM40
145,27711.500,86085.610,870.230,LDM50
146,27698.380,86093.220,869.230,LDM50
147,27705.810,86090.350,868.130,LDM50
148,27700.270,86093.340,868.260,LDM50
149,27704.060,86091.450,867.140,LDM50
150,27701.780,86093.870,867.600,LDM50
151,27703.110,86092.690,866.870,LDM50
152,27771.990,86154.460,885.750,LDM50
153,27763.850,86157.990,885.660,LDM50
154,27770.010,86155.780,884.900,LDM50
155,27765.410,86157.960,885.030,LDM50
156,27769.550,86156.140,884.240,LDM50
157,27766.690,86157.400,884.350,LDM50
158,27768.220,86156.810,883.550,LDM50
159,27716.530,86055.210,886.000,UDM20
160,27715.060,86055.110,884.600,UDM20
161,27712.550,86055.810,884.280,UDM20
162,27710.660,86056.330,883.880,UDM20
163,27709.090,86057.320,885.790,UDM20
164,27708.450,86057.570,886.220,UDM20
165,27706.120,86059.830,888.330,UDM20
166,27697.620,86050.960,891.280,UDM30
167,27700.870,86045.730,889.240,UDM30
168,27701.840,86044.710,888.140,UDM30
169,27702.690,86043.770,887.710,UDM30
170,27704.520,86041.990,887.930,UDM30
171,27705.990,86040.420,889.280,UDM30
