ST5,3127727.532,786129.636,877.252,MAJ5
ST4,3127652.072,786107.329,865.837,MAJ4
01,3127742.996,786137.153,880.648,DM
02,3127742.557,786137.580,879.851,DM
03,3127742.122,786139.116,879.112,DM
04,3127740.505,786141.395,879.238,DM
05,3127739.510,786143.713,879.191,DM
06,3127738.833,786145.076,879.298,DM
07,3127738.245,786145.878,879.293,DM
08,3127737.266,786147.434,879.287,DM
09,3127739.538,786147.388,880.097,DM
10,3127741.397,786144.573,879.373,DM
11,3127744.274,786143.849,879.507,DM
12,3127746.011,786146.747,879.673,DM
13,3127747.960,786145.632,880.270,DM
14,3127749.008,786143.151,879.763,DM
15,3127749.564,786150.077,880.493,DM
16,3127752.766,786150.303,880.927,DM
17,3127750.251,786153.672,880.538,DM
18,3127755.453,786152.841,881.832,DM
19,3127757.938,786148.309,880.754,DM
20,3127754.679,786150.867,881.268,DM
21,3127753.419,786156.869,881.391,DM
22,3127751.275,786155.205,881.493,DM
23,3127729.068,786138.936,875.733,DM
24,3127723.527,786139.285,874.554,DM
25,3127758.542,786151.748,881.340,DM
26,3127753.997,786145.093,880.140,DM
27,3127736.663,786145.770,878.533,DM
28,3127737.142,786143.975,877.458,DM
29,3127737.455,786141.906,876.209,DM
30,3127738.281,786140.137,876.360,DM
31,3127739.614,786138.082,876.640,DM
32,3127738.600,786136.384,877.658,DM
33,3127736.453,786134.657,877.401,DM
34,3127734.227,786134.356,877.076,DM
35,3127733.727,786135.242,877.552,DM
36,3127734.446,786137.233,877.070,DM
37,3127736.289,786138.107,877.094,DM
38,3127736.994,786139.763,875.692,DM
39,3127736.058,786141.101,875.639,DM
40,3127734.775,786142.167,876.273,DM
41,3127733.160,786142.590,876.499,DM
42,3127731.564,786142.693,876.549,DM
43,3127731.644,786141.108,876.228,DM
44,3127729.881,786141.474,875.990,DM
45,3127729.079,786141.476,875.800,DM
46,3127727.856,786141.320,876.340,DM
47,3127729.081,786139.831,875.202,DM
48,3127729.488,786138.906,874.810,DM
49,3127729.818,786137.623,874.360,DM
50,3127729.330,786136.292,874.856,DM
51,3127729.100,786135.355,876.152,DM
52,3127729.177,786132.808,876.416,DM
53,3127728.071,786133.491,875.745,DM
54,3127724.046,786137.074,874.155,DM
55,3127725.558,786141.841,875.029,DM
56,3127725.342,786139.666,874.538,DM
57,3127718.382,786140.426,873.434,DM
58,3127719.854,786137.207,873.969,DM
59,3127721.075,786135.897,874.252,DM
60,3127722.922,786133.846,873.987,DM
61,3127709.336,786149.624,874.262,CSD
62,3127709.837,786148.807,873.498,CSD
63,3127710.533,786147.810,872.928,CSD
64,3127711.904,786145.035,872.889,CSD
65,3127713.897,786142.328,873.266,CSD
66,3127716.100,786139.946,872.855,CSD
67,3127719.007,786137.547,873.561,CSD
68,3127721.029,786135.905,874.304,CSD
69,3127722.714,786134.814,873.897,CSD
70,3127724.461,786132.296,875.088,CSD
71,3127725.397,786131.518,876.198,CSD
72,3127703.232,786143.990,873.902,CSD
73,3127704.087,786143.001,872.689,CSD
74,3127705.957,786140.199,871.948,CSD
75,3127706.589,786137.317,871.114,CSD
