Name,Easting,Northing,Code
1,1222.648,8923.741,M2
2,1137.878,8996.743,M8
3,1217.087,8987.073,RE
4,1216.484,8992.375,RE
5,1216.686,8989.668,RC
6,1185.88,8988.092,RE
7,1186.037,8990.766,RE
8,1185.947,8989.378,RC
9,1182.108,8991.045,HG
10,1182.003,8987.902,HG
11,1178.065,8992.773,HC
12,1195.382,8986.282,EP
13,1196.299,8984.546,TREE
14,1182.969,8980.873,HC
15,1201.224,8982.908,SH
16,1209.165,8980.952,HC
17,1209.727,8962.79,HC
18,1212.821,8978.875,SH
19,1214.872,8984.808,SH
20,1215.244,8985.167,DE
21,1215.137,8985.761,DE
22,1220.115,8986.125,RE+sb
23,1220.606,8984.258,TBM
24,1220.289,8985.788,ST
25,1224.458,8965.636,RC
26,1220.685,8984.483,RE+sb
27,1220.603,8984.488,ST
28,1226.442,8965.233,RE+sb
29,1226.475,8965.356,ST
30,1225.54,8985.46,RE+sb
31,1225.574,8985.449,ST
32,1221.697,8965.34,RE+sb
33,1221.464,8965.375,ST
34,1226.709,8985.308,EL
35,1220.119,8963.427,RE+sb
36,1220.071,8963.464,ST
37,1220.455,8957.904,RE+sb
38,1220.445,8957.785,ST
39,1214.346,8962.28,ST
40,1219.319,8957.647,ST
41,1210.745,8961.713,ST
42,1210.688,8961.661,ST
43,1210.861,8957.03,RE
44,1210.781,8961.572,RE+sb
45,1209.008,8961.631,ST
46,1217.391,8956.571,SH
47,1211.53,8955.788,TREE
48,1217.703,8954.369,SH
49,1220.674,8956.449,DE
50,1219.557,8956.587,DE
51,1222.129,8956.631,RE+sb
52,1221.719,8957.666,RE+sb
53,1221.843,8956.524,ST
54,1221.485,8957.516,ST
55,1227.544,8959.852,EL
56,1226.824,8982.742,DE
57,1228.806,8982.802,DE+WB
58,1219.037,8948.199,SH
59,1218.259,8949.35,SH
60,1228.066,8930.848,EL
61,1217.673,8942.721,SH
62,1218.849,8942.427,SH
63,1227.857,8936.166,RE+sb
64,1219.832,8942.712,SH
65,1228.033,8935.924,ST
66,1227.045,8931.095,ST
67,1226.937,8931.15,RE+sb
68,1224.638,8926.25,ST
69,1224.679,8932.018,RC
70,1224.578,8926.328,RE+sb
71,1222.7,8932.795,RE+sb
72,1223.074,8927.842,RC
73,1222.535,8932.784,ST
74,1220.977,8929.576,RE+sb
75,1221.186,8933.764,DE
76,1220.915,8929.599,ST
77,1220.258,8933.945,DE
78,1219.346,8934.306,EP
79,1221.429,8933.775,ST
80,1213.161,8946.093,HC
81,1220.142,8984.282,EP
82,1219.031,8984.751,DE
83,1217.962,8984.245,DE
84,1226.275,8991.111,M1
85,1067.515,8999.756,M7
86,1142.273,9002.654,TOILET
87,1142.191,9008.803,TOILET
88,1152.131,9002.737,TOILET
89,1146.879,8998.953,SH
90,1138.258,9002.553,FE
91,1151.261,8995.293,SH
92,1136.807,9002.335,FE
93,1154.209,8993.426,SH
94,1155.653,8992.513,HC
95,1137.221,8999.816,STA
96,1137.349,8998.576,STA
97,1137.11,8998.566,STA
98,1136.746,8998.63,STA
99,1136.535,8999.735,STA
100,1136.791,9000.433,EL
101,1135.307,8998.119,TREE
102,1141.624,8998.494,TREE
103,1141.208,8995.864,TREE
104,1141.845,8993.537,TREE
105,1142.035,8991.21,TREE
106,1146.336,8988.991,SH
107,1135.14,8995.002,TREE
108,1135.494,8993.164,TREE
109,1135.58,8991.231,TREE
110,1141.054,8951.104,FE+SB
111,1142.178,8951.157,FE+SB
112,1141.025,8950.944,ST
113,1136.116,8947.48,HC
114,1141.486,8943.581,FE
115,1142.7,8943.665,FE
116,1130.721,8989.817,HC
117,1226.278,8991.113,M1
118,1135.385,8965.887,HC
119,1135.317,8971.929,HC
120,1151.261,8973.906,HC
121,1151.235,8980.495,HC
122,1155.965,8980.429,HC
123,1176.988,8993.379,HC
124,1168.746,8999.438,SH
125,1154.756,8999.433,TREE
126,1156.89,9000.667,stone
127,1118.545,8996.524,EL
128,1103.484,8999.23,EL
129,1137.929,8996.744,M8
130,1137.878,8996.743,M8
131,1034.534,9019.953,M6
132,1064.319,8996.167,FE
133,1064.437,8997.561,FE
134,1059.35,9002.89,SH
135,1054.35,8995.2,PARK
136,1071.396,8999.703,TAP
137,1051.674,8994.937,PARK
138,1036.471,8999.053,TAP
139,1033.735,9007.346,HC
140,1050.038,9007.173,SH
141,1042.283,9003.578,SH
142,1021.704,9007.141,HC
143,1033.541,9019.881,HC
144,1033.764,9010.684,SLAB
145,1033.688,9013.747,SLAB
146,1021.916,9005.608,POLE
147,1018.739,9007.034,HC
148,1044.835,9010.689,SLAB
149,1015.999,9002.688,HC
150,1018.586,9002.755,HC
151,1061.094,8988.66,SH
152,1016.675,8993.864,HC
153,1070.232,8986.964,HC
154,1070.018,8994.88,HC
155,1073.034,8995.815,SB
156,1072.98,8995.885,ST
157,1071.279,8996.062,FE
158,1070.917,8997.698,FE
159,1071.431,8998.342,EL
160,1072.642,8998.176,STA
161,1073.075,8995.859,STA
162,1026.536,8994.76,PARK
163,1080.571,8995.118,HC
164,1086.104,8996.86,FE
165,1086.061,8998.977,FE
166,1087.208,8999.158,STA
167,1087.174,9000.723,HC
168,1087.222,8996.799,STA
169,1087.34,8995.164,HC
170,1093.426,8997.056,FE
171,1093.376,8998.594,FE
172,1067.469,8995.436,PARK
173,1063.568,8972.928,HC
174,1063.466,8972.915,HC
175,1012.838,8994.925,FE
176,1012.82,8996.476,FE
177,1054.745,8967.716,HC
178,1051.693,8964.594,TOILET
179,1048.721,8964.622,TOILET
180,1045.611,8963.466,TOILET
181,1052.556,8994.956,FE
182,1054.199,8995.065,FE
183,1051.559,8973.103,PARK
184,1053.359,8977.614,STA+FE
185,1053.293,8977.24,STA+FE
186,1039.525,8984.018,BPPARK
187,1035.234,8997.78,EL
188,1067.542,8999.738,M7
189,977.295,9042.423,CP2
190,1028.517,9022.921,EL
191,1028.342,9023.092,SLAB+BEN
192,1018.436,9020.85,SLAB+BEN
193,1018.415,9022.823,SLAB+BEN
