Country,Areakm2,Population,PhonesLines,PhonesCell,IntrntUsrs,IntrntHsts
Albania,28748,3619778,353600,1530000,471200,852
Andorra,468,72413,35400,64600,23200,15486
Austria,83870,8205533,3564000,9255000,4200000,2427000
Belarus,207600,9685768,3368000,5960000,5478000,20685
Belgium,30528,10403951,4719000,9660000,4800000,3195000
Bosnia & Herzegovina,51129,4590310,989000,1888000,950000,39627
Bulgaria,110910,7262675,2399000,8253000,1870000,298781
Croatia,56542,4491543,1832000,4470000,1576000,261954
Czech Republic,78866,10220911,2888000,12408000,3541000,1668000
Denmark,44493,5533391,3121000,5891000,3205000,3122490
Estonia,45226,1307605,541900,1659000,760000,387336
Finland,338145,5244749,1920000,5670000,2925000,2323000
France,643427,64057790,34630000,53023000,31295000,12556000
Germany,357021,82369548,54200000,84300000,38600000,16494000
Greece,131940,10722816,6185000,11098000,2048000,905824
Hungary,93030,9930915,3350000,9965000,3500000,2313000
Iceland,103000,304367,193700,328500,194000,270942
Ireland,70280,4156119,2097000,4690000,1437000,429487
Italy,301230,58145321,25049000,71500000,28855000,4117000
Latvia,64589,2245423,657400,2184000,1071000,234014
Liechtenstein,160,34498,20000,27500,22000,4753
Lithuania,65200,3565205,792400,4718000,1083000,1301000
Luxembourg,2586,486006,246700,713800,339000,132090
Macedonia,25333,2061315,490900,1417000,268000,6001
Malta,316,403532,202300,346800,127200,21386
Moldova,33843,4324450,1018000,1358000,727700,112026
Monaco,2,32796,34000,17200,20000,14520
Montenegro,14026,678177,353300,821800,266000,
Netherlands,41526,16645313,7600000,15834000,14544000,11170000
Norway,385199,4646622,2055000,5041000,4074000,2084000
Poland,312685,38500696,11475000,36746000,11000000,5681000
Portugal,92391,10676910,4231000,12226000,3213000,836616
Romania,237500,22246862,4231000,17400000,5063000,1406000
San Marino,61.2,29973,21000,17390,15400,3344
Serbia,88361,12285754,2825300,7206000,1400000,
Slovakia,48845,5455407,1167000,4893000,2256000,821816
Slovenia,20273,2007711,837500,1820000,1251000,134266
Spain,504782,40491051,18385000,46152000,18578000,2552000
Sweden,449964,9045389,6379000,9087000,6981000,3318000
Switzerland,41290,7581520,5040000,7418000,4360000,1405000
Ukraine,603700,45994287,12341000,49076000,5545000,234349
United Kingdom,245593,61205393,33796512,69794497,33603200,5123492
Vatican City,0.4,824,5120,,93,20
