"Scientific name","Description","Lat","Lon","Status","Link"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.5167,123.7167,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",7.1833,125.4167,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",11.9000,125.4167,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.0500,124.9833,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.2167,124.9833,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.2833,123.5333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.1333,125.2333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.2333,123.0000,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.1000,124.9167,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",6.9167,124.0500,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",6.1833,124.6833,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",7.3667,125.4333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",7.5000,125.2667,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",7.2500,125.0833,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",7.8333,124.8167,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",6.1333,124.6500,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",7.6500,124.3333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",6.4333,124.9833,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",6.2000,124.5667,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",6.3667,126.1667,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",7.7833,122.5333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",6.1667,124.7000,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",6.8500,125.0667,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",17.1000,122.4000,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
